sep=,
"Time","open5gs-ue01 (10.245.1.226)","open5gs-ue01 (8.8.8.8)"
2024-01-06 00:44:30,8.28 ms,18.8 ms
2024-01-06 00:44:45,3.67 ms,22.5 ms
2024-01-06 00:45:00,3.16 ms,19.4 ms
2024-01-06 00:45:15,6.31 ms,19.9 ms
2024-01-06 00:45:30,5.92 ms,19.5 ms
2024-01-06 00:45:45,4.05 ms,19.7 ms
2024-01-06 00:46:00,3.15 ms,19.4 ms
2024-01-06 00:46:15,5.31 ms,19.7 ms
2024-01-06 00:46:30,5.98 ms,21.4 ms
2024-01-06 00:46:45,6.49 ms,21.8 ms
2024-01-06 00:47:00,5.84 ms,19.3 ms
2024-01-06 00:47:15,4.92 ms,20.8 ms
2024-01-06 00:47:30,2.73 ms,21.1 ms
2024-01-06 00:47:45,3.39 ms,19.0 ms
2024-01-06 00:48:00,3.37 ms,18.9 ms
2024-01-06 00:48:15,6.26 ms,19.0 ms
2024-01-06 00:48:30,2.65 ms,19.4 ms
2024-01-06 00:48:45,5.40 ms,19.2 ms
2024-01-06 00:49:00,2.42 ms,18.8 ms
2024-01-06 00:49:15,2.43 ms,17.8 ms
2024-01-06 00:49:30,1.40 ms,18.0 ms
2024-01-06 00:49:45,1.33 ms,17.0 ms
2024-01-06 00:50:00,4.10 ms,17.6 ms
2024-01-06 00:50:15,1.96 ms,16.6 ms
2024-01-06 00:50:30,1.84 ms,17.6 ms
2024-01-06 00:50:45,1.86 ms,17.2 ms
2024-01-06 00:51:00,2.06 ms,17.0 ms
2024-01-06 00:51:15,2.56 ms,17.3 ms
2024-01-06 00:51:30,2.03 ms,17.2 ms
2024-01-06 00:51:45,3.83 ms,19.6 ms
2024-01-06 00:52:00,4.04 ms,18.2 ms
2024-01-06 00:52:15,5.76 ms,20.3 ms
2024-01-06 00:52:30,2.05 ms,18.8 ms
2024-01-06 00:52:45,2.80 ms,17.5 ms
2024-01-06 00:53:00,8.81 ms,19.1 ms
2024-01-06 00:53:15,4.27 ms,20.4 ms
2024-01-06 00:53:30,6.88 ms,20.9 ms
2024-01-06 00:53:45,2.10 ms,21.8 ms
2024-01-06 00:54:00,5.66 ms,20.5 ms
2024-01-06 00:54:15,5.59 ms,21.7 ms
2024-01-06 00:54:30,4.85 ms,20.5 ms
2024-01-06 00:54:45,2.91 ms,16.8 ms
2024-01-06 00:55:00,2.40 ms,17.0 ms
2024-01-06 00:55:15,3.52 ms,17.5 ms
2024-01-06 00:55:30,1.44 ms,18.6 ms
2024-01-06 00:55:45,1.76 ms,17.1 ms
2024-01-06 00:56:00,2.42 ms,17.9 ms
2024-01-06 00:56:15,1.33 ms,17.2 ms
2024-01-06 00:56:30,2.34 ms,18.1 ms
2024-01-06 00:56:45,1.90 ms,17.9 ms
2024-01-06 00:57:00,2.56 ms,18.2 ms
2024-01-06 00:57:15,1.55 ms,16.8 ms
2024-01-06 00:57:30,2.43 ms,18.2 ms
2024-01-06 00:57:45,1.86 ms,17.0 ms
2024-01-06 00:58:00,2.10 ms,17.0 ms
2024-01-06 00:58:15,3.42 ms,16.6 ms
2024-01-06 00:58:30,3.78 ms,19.7 ms
2024-01-06 00:58:45,4.38 ms,18.4 ms
2024-01-06 00:59:00,5.29 ms,20.1 ms
2024-01-06 00:59:15,4.85 ms,19.0 ms
2024-01-06 00:59:30,3.51 ms,20.1 ms
2024-01-06 00:59:45,3.46 ms,19.2 ms
2024-01-06 01:00:00,6.57 ms,17.5 ms
2024-01-06 01:00:15,5.60 ms,18.8 ms
2024-01-06 01:00:30,6.13 ms,20.0 ms
2024-01-06 01:00:45,6.69 ms,19.0 ms
2024-01-06 01:01:00,4.92 ms,19.0 ms
2024-01-06 01:01:15,2.75 ms,19.1 ms
2024-01-06 01:01:30,1.90 ms,17.5 ms
2024-01-06 01:01:45,2.82 ms,16.9 ms
2024-01-06 01:02:00,3.44 ms,17.7 ms
2024-01-06 01:02:15,3.49 ms,17.1 ms
2024-01-06 01:02:30,1.23 ms,17.7 ms
2024-01-06 01:02:45,2.09 ms,17.3 ms
2024-01-06 01:03:00,0.865 ms,17.5 ms
2024-01-06 01:03:15,2.48 ms,18.0 ms
2024-01-06 01:03:30,3.35 ms,17.5 ms
2024-01-06 01:03:45,2.35 ms,16.9 ms
2024-01-06 01:04:00,1.77 ms,16.7 ms
2024-01-06 01:04:15,1.42 ms,16.9 ms
2024-01-06 01:04:30,1.57 ms,16.6 ms
2024-01-06 01:04:45,1.64 ms,17.0 ms
2024-01-06 01:05:00,2.04 ms,17.5 ms
2024-01-06 01:05:15,2.24 ms,18.9 ms
2024-01-06 01:05:30,2.36 ms,18.8 ms
2024-01-06 01:05:45,2.29 ms,17.3 ms
2024-01-06 01:06:00,3.94 ms,18.5 ms
2024-01-06 01:06:15,4.11 ms,18.0 ms
2024-01-06 01:06:30,2.45 ms,17.3 ms
2024-01-06 01:06:45,2.93 ms,18.9 ms
2024-01-06 01:07:00,2.91 ms,17.6 ms
2024-01-06 01:07:15,4.26 ms,18.1 ms
2024-01-06 01:07:30,6.60 ms,20.1 ms
2024-01-06 01:07:45,4.88 ms,22.8 ms
2024-01-06 01:08:00,6.33 ms,20.1 ms
2024-01-06 01:08:15,5.89 ms,20.4 ms
2024-01-06 01:08:30,6.19 ms,21.9 ms
2024-01-06 01:08:45,1.45 ms,16.4 ms
2024-01-06 01:09:00,4.40 ms,19.0 ms
2024-01-06 01:09:15,5.99 ms,20.1 ms
2024-01-06 01:09:30,2.85 ms,19.8 ms
2024-01-06 01:09:45,2.50 ms,17.1 ms
2024-01-06 01:10:00,5.64 ms,19.8 ms

